user,type_bool,summary_bytes,total_byte_change,addition_or_deletion,isBotEdit,isMinor,isUnpatrolled,isNew,no_of_edits
CAPTAIN RAJU,1,36,7250,1,0,0,0,1,202
Alexbateman,1,57,1,1,0,0,0,0,1
6.32.200.59,1,61,44,1,0,0,0,0,3
Marquardtika,1,72,5,0,0,0,0,0,14
TheMightyPeanut,1,43,14,0,0,1,0,0,385
Tazerdadog,1,37,384,1,0,0,0,0,3
.171.210.25,1,0,12,1,0,0,0,0,3
J 1982,1,60,32,1,0,0,0,0,497
Ppt1973,1,0,12,1,0,0,0,0,11
SchreiberBike,1,33,61,0,0,0,0,0,185
Pgallert,1,14,22,1,0,0,0,0,1
01:56A:F658:2200:285E:7072:3E5:B466,1,16,1,1,0,0,0,0,12
TheMightyPeanut,1,43,14,0,0,1,0,0,386
Markdask,1,57,1,1,0,0,0,0,12
Samubert96,1,111,93,1,0,0,0,1,33
.52.38.236,1,0,45,1,0,0,0,0,2
LlywelynII,0,4,900,1,0,0,0,0,10
Coretheapple,1,31,15,1,0,0,0,0,12
Saintandy7,1,13,2,0,0,0,0,0,19
Ergo Sum,0,19,369,1,0,0,0,0,4
Grafen,1,63,3,0,0,1,0,0,19
.185.196.178,1,14,49,1,0,0,0,0,4
Dapi89,1,19,58,1,0,0,0,0,67
TheMightyPeanut,1,43,14,0,0,1,0,0,387
NmcPedia,1,13,61,1,0,0,0,0,1
02:306:301E:E2F0:8CF:2CFF:F72C:D114,1,0,357,1,0,0,0,0,7
Lkchild,1,27,22,0,0,0,0,0,11
Ultimateria,1,3,276,1,0,0,0,0,38
Breamk,1,0,309,0,0,0,0,0,15
Rubbish computer,1,36,2316,1,0,0,0,1,210
.92.210.104,1,30,134,1,0,0,0,0,2
Spshu,0,119,2741,1,0,0,0,0,3
ATV16,1,0,37,0,0,0,0,0,1
Rwxrwxrwx,1,8,12,0,0,0,0,0,106
Dicklyon,0,35,235,1,0,0,0,0,45
Mikhail Ryazanov,1,29,5,0,0,1,0,0,15
JoeHebda,0,57,107,1,0,0,0,0,57
Equinox,1,23,1,1,0,1,0,0,165
.226.68.239,1,12,0,0,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,388
J 1982,1,57,29,1,0,0,0,0,498
Capilano University,1,20,36,1,0,0,0,0,1
TheFarix,1,136,54,0,0,0,0,0,23
.74.134.115,1,0,2,0,0,0,0,0,1
.26,1,16,382,1,0,0,0,0,2
Goose121,1,53,724,1,0,0,0,0,5
Grafen,1,58,4,0,0,1,0,0,20
Tim1965,1,180,8,0,0,0,0,0,57
Rathfelder,1,61,33,1,0,0,0,0,273
Ampimd,1,0,28,1,0,0,0,0,1
Cyberbot I,1,58,0,0,1,0,0,0,941
MuzikMachine,1,15,125,1,0,0,0,0,16
ScratchinNinja,1,30,387,1,0,0,0,0,3
Rjwilmsi,1,68,14,1,0,1,0,0,398
ChilternGiant,1,13,102,1,0,0,0,0,2
StAnselm,1,9,81,1,0,0,0,0,67
TheMightyPeanut,1,43,14,0,0,1,0,0,389
Pegship,1,9,9,1,0,1,0,0,25
Bretonbanquet,1,6,0,0,0,0,0,0,7
Ale jrb,1,133,14,0,0,1,0,0,166
Ale jrb,1,51,1212,1,0,0,0,1,166
Untold Millions,1,24,25,0,0,0,0,0,86
Erutuon,1,40,12,0,0,1,0,0,74
4.169.134.100,1,10,53,1,0,0,0,0,4
InceptionBot,1,19,4201,0,1,0,0,0,958
InceptionBot,1,52,2668,1,1,0,0,0,958
.203.68.171,1,0,21,1,0,0,0,0,1
Ale jrb,1,136,2,0,0,1,0,0,167
Rubbish computer,1,36,2316,1,0,0,0,1,211
Andyjsmith,0,40,608,1,0,0,0,0,4
TheMightyPeanut,1,34,13,0,0,1,0,0,390
Dwergenpaartje,1,0,719,1,0,0,0,0,40
Hugo999,1,20,153,1,0,0,0,0,253
Marchjuly,1,38,407,1,0,0,0,0,39
01:56A:F658:2200:285E:7072:3E5:B466,1,16,5,0,0,0,0,0,13
02:304:CF26:8FC0:9D12:459F:DA3A:8764,1,0,1,1,0,0,0,0,3
TheFarix,1,105,1159,1,0,0,0,0,24
Waymars.wcm,1,22,24,1,0,0,0,0,1
Janweh64,1,20,69,0,0,1,0,0,3
TheMightyPeanut,1,43,14,0,0,1,0,0,391
.48.86.218,1,0,4,0,0,0,0,0,1
Ser Amantio di Nicolao,1,72,44,1,0,0,0,0,264
Grafen,1,92,1,0,0,1,0,0,21
Mothman27,1,15,1,0,0,0,0,0,1
Keri,1,40,41,1,0,0,0,0,72
Charlie42s,1,38,987,1,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,392
Wykx,1,18,49,1,0,0,0,0,34
OddsBodkins,1,38,107,1,0,0,0,0,10
EchetusXe,1,21,1,0,0,0,0,0,17
Espresso Addict,1,13,73,1,0,0,0,0,47
.45.47.59,1,0,0,0,0,0,0,0,1
Fixuture,1,67,4,1,0,1,0,0,177
Saintandy7,1,27,0,0,0,0,0,0,20
Jeanloujustine,1,7,4,1,0,0,0,0,1
Equinox,1,37,40,1,0,0,0,0,166
TheMightyPeanut,1,43,14,0,0,1,0,0,393
Bigboy2017,1,10,821,1,0,0,0,0,1
01:48F8:7028:6C8:7144:C5A1:5ADB:C14B,1,12,1,1,0,0,0,0,1
Zzuuzz,1,125,6,1,0,1,0,0,11
Molecub,1,0,1,1,0,0,0,0,1
Grafen,1,70,1,0,0,1,0,0,22
.49.197.186,1,30,200,1,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,394
.173.99.177,1,0,6,1,0,0,0,0,1
.148.132.89,1,0,1,1,0,0,0,0,6
8.210.254.187,1,119,1,0,0,0,0,0,1
Pegship,1,9,9,1,0,1,0,0,26
IzyM473,1,0,224,0,0,0,0,0,1
9.144.30.164,1,19,84,0,0,0,0,0,9
Grafen,1,71,1,0,0,1,0,0,23
Mandruss,1,38,44,1,0,0,0,0,59
Marquardtika,1,11,1,1,0,1,0,0,15
LocalNet,1,59,183,0,0,0,0,0,8
4.218.142.106,1,0,5,1,0,0,0,0,1
Bolter21,1,0,29,1,0,0,0,0,1
A02:C7F:7411:9300:90A4:D73:71DC:9991,1,0,22,1,0,0,0,0,2
1.141.6.149,1,0,16,1,0,0,0,0,1
Goose121,1,59,675,1,0,0,0,0,6
00:8803:7A00:19:8411:5797:7BA9:1305,0,0,1,0,0,0,0,0,45
TheMightyPeanut,1,43,14,0,0,1,0,0,395
02:304:CF26:8FC0:9D12:459F:DA3A:8764,1,0,25,1,0,0,0,0,4
Iantheimp,1,14,1,0,0,1,0,0,4
Gilo1969,1,82,4609,1,0,0,0,1,17
Nocowardsoulismine,1,85,65,1,0,0,0,0,78
Mediarmy,1,27,317,1,0,1,0,0,4
CAPTAIN RAJU,1,121,97,1,0,0,0,0,203
Thebees1889,1,23,56,1,0,0,0,0,3
COIBot,1,60,0,0,1,0,0,0,246
Grafen,1,101,4,0,0,1,0,0,24
J 1982,1,57,29,1,0,0,0,0,499
TAnthony,1,23,11,1,0,0,0,0,115
TheMightyPeanut,1,43,14,0,0,1,0,0,396
GDEBE,1,8,25,1,0,0,0,0,80
George Ho,1,0,18,1,0,0,0,0,109
Xdigionwiki,1,74,14,1,0,0,0,0,9
Grafen,1,71,1,0,0,1,0,0,25
StAnselm,1,54,26,1,0,0,0,0,68
1.221.241.207,1,0,13,1,0,0,0,0,1
Pichpich,1,72,827,1,0,0,0,1,21
Pichpich,1,94,415,1,0,0,0,0,21
Pichpich,1,95,1089,1,0,0,0,0,21
Charleydrgreen,1,0,80,0,0,0,0,0,18
TheMightyPeanut,1,43,14,0,0,1,0,0,397
Mathew5000,1,94,966,1,0,0,0,0,4
Ser Amantio di Nicolao,1,81,53,1,0,0,0,0,265
Ale jrb,1,136,63,0,0,1,0,0,168
Lkchild,1,27,5,0,0,0,0,0,12
Pegship,1,9,9,1,0,1,0,0,27
